id,mu_global,mu_source1,mu_source2,issoil,share,seq,su_sym74,su_code74,su_sym85,su_code85,su_sym90,su_code90,t_texture,drainage,ref_depth,awc_class,phase1,phase2,roots,il,swr,add_prop,t_gravel,t_sand,t_silt,t_clay,t_usda_tex_class,t_ref_bulk_density,t_bulk_density,t_oc,t_ph_h2o,t_cec_clay,t_cec_soil,t_bs,t_teb,t_caco3,t_caso4,t_esp,t_ece,s_gravel,s_sand,s_silt,s_clay,s_usda_tex_class,s_ref_bulk_density,s_bulk_density,s_oc,s_ph_h2o,s_cec_clay,s_cec_soil,s_bs,s_teb,s_caco3,s_caso4,s_esp,s_ece
11511,10770,4400494,4401770,1,40.0,1,-9999,-9999,Bgc,26,CMg,69,3,2,100,1,-9999,-9999,0,0,0,0,10,19,32,49,3,1.24,1.31,1.41,5.6,25.0,20.0,74.0,15.6,0.0,0.0,1.0,0.1,24,18,31,51,3,1.23,1.36,0.49,5.7,31.0,21.0,77.0,14.9,0.0,0.0,1.0,0.1
11517,10771,4400495,4401776,1,50.0,1,-9999,-9999,Bgg,28,CMg,69,2,2,100,3,-9999,-9999,1,3,2,0,4,45,36,19,9,1.42,1.41,1.0,6.4,38.0,9.0,85.0,8.2,0.0,0.0,2.0,0.1,18,39,34,27,5,1.36,1.6,0.47,6.7,37.0,11.0,88.0,11.3,0.1,0.0,2.0,0.1
11520,10772,4400496,4401779,1,40.0,1,-9999,-9999,Bgg,28,CMg,69,2,2,100,3,8,-9999,1,3,2,0,4,45,36,19,9,1.42,1.41,1.0,6.4,38.0,9.0,85.0,8.2,0.0,0.0,2.0,0.1,18,39,34,27,5,1.36,1.6,0.47,6.7,37.0,11.0,88.0,11.3,0.1,0.0,2.0,0.1
11523,10773,4400497,4401783,1,50.0,1,-9999,-9999,Bc,9,CMx,66,1,4,100,6,2,-9999,3,1,1,0,5,79,10,11,11,1.57,1.48,0.65,7.1,37.0,7.0,89.0,6.1,5.7,0.0,3.0,0.2,9,74,11,15,11,1.51,1.49,0.2,7.4,39.0,7.0,91.0,7.9,3.9,0.0,2.0,0.2
11527,10774,4400498,4401787,1,70.0,1,-9999,-9999,Lo,148,LVh,106,2,4,100,1,-9999,-9999,1,1,1,0,4,41,37,22,9,1.4,1.43,0.74,6.5,47.0,13.0,91.0,11.0,0.0,0.0,1.0,0.1,3,37,34,29,5,1.35,1.51,0.36,6.7,50.0,14.0,93.0,13.1,0.0,0.0,1.0,0.1
11531,10775,4400499,4401791,1,60.0,1,-9999,-9999,Lo,148,LVh,106,2,4,100,1,-9999,-9999,1,1,1,0,4,41,37,22,9,1.4,1.43,0.74,6.5,47.0,13.0,91.0,11.0,0.0,0.0,1.0,0.1,3,37,34,29,5,1.35,1.51,0.36,6.7,50.0,14.0,93.0,13.1,0.0,0.0,1.0,0.1
11536,10776,4400500,4401796,1,50.0,1,-9999,-9999,Lo,148,LVh,106,2,4,100,3,-9999,-9999,1,3,1,0,4,41,37,22,9,1.4,1.43,0.74,6.5,47.0,13.0,91.0,11.0,0.0,0.0,1.0,0.1,3,37,34,29,5,1.35,1.51,0.36,6.7,50.0,14.0,93.0,13.1,0.0,0.0,1.0,0.1
11540,10777,4400501,4401801,1,65.0,1,-9999,-9999,Lo,148,LVh,106,2,4,100,3,-9999,-9999,1,3,2,0,4,41,37,22,9,1.4,1.43,0.74,6.5,47.0,13.0,91.0,11.0,0.0,0.0,1.0,0.1,3,37,34,29,5,1.35,1.51,0.36,6.7,50.0,14.0,93.0,13.1,0.0,0.0,1.0,0.1
11544,10778,4400502,4401806,1,50.0,1,-9999,-9999,Lo,148,LVh,106,2,4,100,1,-9999,-9999,1,1,1,0,4,41,37,22,9,1.4,1.43,0.74,6.5,47.0,13.0,91.0,11.0,0.0,0.0,1.0,0.1,3,37,34,29,5,1.35,1.51,0.36,6.7,50.0,14.0,93.0,13.1,0.0,0.0,1.0,0.1
11548,10779,4400503,4401811,1,50.0,1,-9999,-9999,Lo,148,LVh,106,2,4,100,3,-9999,-9999,1,3,2,0,4,41,37,22,9,1.4,1.43,0.74,6.5,47.0,13.0,91.0,11.0,0.0,0.0,1.0,0.1,3,37,34,29,5,1.35,1.51,0.36,6.7,50.0,14.0,93.0,13.1,0.0,0.0,1.0,0.1
11552,10780,4400504,4401815,1,50.0,1,-9999,-9999,Lo,148,LVh,106,2,4,100,1,-9999,-9999,1,1,1,0,4,41,37,22,9,1.4,1.43,0.74,6.5,47.0,13.0,91.0,11.0,0.0,0.0,1.0,0.1,3,37,34,29,5,1.35,1.51,0.36,6.7,50.0,14.0,93.0,13.1,0.0,0.0,1.0,0.1
11556,10781,4400505,4401820,1,60.0,1,-9999,-9999,Lc,132,LVx,108,2,4,100,3,-9999,-9999,1,3,2,0,12,48,28,24,9,1.4,1.53,0.83,6.3,39.0,12.0,88.0,10.0,0.0,0.0,1.0,0.1,8,41,25,34,5,1.33,1.51,0.4,6.4,41.0,15.0,90.0,12.0,0.0,0.0,1.0,0.1
11562,10782,4400506,4401826,1,60.0,1,-9999,-9999,Lc,132,LVx,108,2,4,100,3,-9999,-9999,1,3,2,0,12,48,28,24,9,1.4,1.53,0.83,6.3,39.0,12.0,88.0,10.0,0.0,0.0,1.0,0.1,8,41,25,34,5,1.33,1.51,0.4,6.4,41.0,15.0,90.0,12.0,0.0,0.0,1.0,0.1
11568,10783,4400508,4401840,1,50.0,1,-9999,-9999,Lc,132,LVx,108,2,3,100,5,2,-9999,2,1,1,0,12,48,28,24,9,1.4,1.53,0.83,6.3,39.0,12.0,88.0,10.0,0.0,0.0,1.0,0.1,8,41,25,34,5,1.33,1.51,0.4,6.4,41.0,15.0,90.0,12.0,0.0,0.0,1.0,0.1
11574,10784,4400509,4401849,1,35.0,1,-9999,-9999,Lo,148,CMd,63,1,5,100,3,-9999,-9999,1,1,1,0,10,75,15,10,11,1.58,1.49,0.7,5.1,21.0,5.0,28.0,1.5,0.0,0.0,5.0,0.1,9,68,17,15,11,1.51,1.5,0.27,5.0,31.0,5.0,36.0,1.4,0.0,0.0,5.0,0.1
11579,10785,4400510,4401852,1,55.0,1,-9999,-9999,Lg,139,LVg,113,2,2,100,1,-9999,-9999,1,1,2,0,5,47,29,24,9,1.39,1.54,0.83,6.3,46.0,16.0,93.0,14.9,0.0,0.0,2.0,0.1,6,39,27,34,5,1.33,1.65,0.28,7.0,44.0,16.0,99.0,15.9,0.4,0.0,2.0,0.1
11582,10786,4400511,4401855,1,40.0,1,-9999,-9999,Lg,139,LVg,113,1,2,100,1,-9999,-9999,1,1,2,0,4,80,11,9,12,1.6,1.44,0.63,6.5,54.0,6.0,83.0,6.1,0.1,0.1,2.0,0.1,5,68,10,22,10,1.45,1.55,0.3,6.4,43.0,9.0,80.0,5.9,0.1,0.1,1.0,0.1
11586,10787,4400512,4401859,1,60.0,1,-9999,-9999,Lgs,142,LVj,112,2,2,100,5,-9999,-9999,1,4,3,0,4,37,44,19,9,1.41,1.4,0.99,5.8,48.0,12.0,62.0,8.4,0.0,0.0,1.0,0.1,4,31,38,31,5,1.33,1.6,0.29,5.9,50.0,14.0,83.0,10.2,0.0,0.0,1.0,0.1
